Project,Wash,Garment,Weight,Repeat,Area,Area.px,Area.mm2
SH,W000,12Vcotton,1000g,R1,8.943,813000,67.1900826446281
SH,W000,12Vcotton,1000g,R2,8.727,793363.636363636,65.5672426746807
SH,W000,12Vcotton,1000g,R3,11.942,1085636.36363636,89.7220135236664
SH,W000,12Vcotton,1000g,R4,13.766,1251454.54545455,103.425995492111
SH,W000,12Vcotton,1000g,R5,8.834,803090.909090909,66.3711495116454
SH,W000,12Vcotton,100g,R1,2.726,247818.181818182,20.480841472577
SH,W000,12Vcotton,100g,R2,3.372,306545.454545455,25.3343350864012
SH,W000,12Vcotton,100g,R3,2.571,233727.272727273,19.3163035311796
SH,W000,12Vcotton,100g,R4,2.753,250272.727272727,20.6836964688204
SH,W000,12Vcotton,100g,R5,3.504,318545.454545455,26.3260706235913
SH,W000,12Vcotton,2000g,R1,10.649,968090.909090909,80.007513148009
SH,W000,12Vcotton,2000g,R2,10.683,971181.818181818,80.2629601803156
SH,W000,12Vcotton,2000g,R3,13.678,1243454.54545455,102.764838467318
SH,W000,12Vcotton,2000g,R4,9.46,860000,71.0743801652893
SH,W000,12Vcotton,2000g,R5,10.509,955363.636363636,78.9556724267468
SH,W000,12Vcotton,200g,R1,5.084,462181.818181818,38.1968444778362
SH,W000,12Vcotton,200g,R2,2.845,258636.363636364,21.3749060856499
SH,W000,12Vcotton,200g,R3,3.694,335818.181818182,27.7535687453043
SH,W000,12Vcotton,200g,R4,2.682,243818.181818182,20.1502629601803
SH,W000,12Vcotton,200g,R5,2.763,251181.818181818,20.7588279489106
SH,W000,12Vcotton,400g,R1,4.695,426818.181818182,35.2742299023291
SH,W000,12Vcotton,400g,R2,7.385,671363.636363636,55.4845980465815
SH,W000,12Vcotton,400g,R3,8.96,814545.454545455,67.3178061607814
SH,W000,12Vcotton,400g,R4,8.132,739272.727272727,61.0969196093163
SH,W000,12Vcotton,400g,R5,5.646,513272.727272727,42.4192336589031
SH,W000,12Vcotton,800g,R1,8.137,739727.272727273,61.1344853493614
SH,W000,12Vcotton,800g,R2,7.713,701181.818181818,57.9489105935387
SH,W000,12Vcotton,800g,R3,6.737,612454.545454546,50.6160781367393
SH,W000,12Vcotton,800g,R4,10.506,955090.909090909,78.9331329827198
SH,W000,12Vcotton,800g,R5,12.005,1091363.63636364,90.1953418482344
SH,W041,12Vcotton,1000g,R1,7.031,639181.818181818,52.8249436513899
SH,W041,12Vcotton,1000g,R2,6.258,568909.090909091,47.0172802404207
SH,W041,12Vcotton,1000g,R3,6.978,634363.636363636,52.4267468069121
SH,W041,12Vcotton,1000g,R4,13.261,1205545.45454545,99.6318557475582
SH,W041,12Vcotton,1000g,R5,13.899,1263545.45454545,104.42524417731
SH,W041,12Vcotton,100g,R1,4.054,368545.454545455,30.45830202855
SH,W041,12Vcotton,100g,R2,4.839,439909.090909091,36.3561232156273
SH,W041,12Vcotton,100g,R3,5.585,507727.272727273,41.9609316303531
SH,W041,12Vcotton,100g,R4,2.478,225272.727272727,18.6175807663411
SH,W041,12Vcotton,100g,R5,1.173,106636.363636364,8.81292261457551
SH,W041,12Vcotton,2000g,R1,12.934,1175818.18181818,97.1750563486101
SH,W041,12Vcotton,2000g,R2,19.975,1815909.09090909,150.07513148009
SH,W041,12Vcotton,2000g,R3,21.113,1919363.63636364,158.62509391435
SH,W041,12Vcotton,200g,R1,1.374,124909.090909091,10.3230653643877
SH,W041,12Vcotton,200g,R2,4.606,418727.272727273,34.6055597295267
SH,W041,12Vcotton,200g,R3,5.04,458181.818181818,37.8662659654395
SH,W041,12Vcotton,200g,R4,6.625,602272.727272727,49.7746055597295
SH,W041,12Vcotton,200g,R5,2.715,246818.181818182,20.3981968444778
SH,W041,12Vcotton,400g,R1,3.479,316272.727272727,26.1382419233659
SH,W041,12Vcotton,400g,R2,2.351,213727.272727273,17.6634109691961
SH,W041,12Vcotton,400g,R3,2.595,235909.090909091,19.4966190833959
SH,W041,12Vcotton,400g,R4,2.37,215454.545454545,17.8061607813674
SH,W041,12Vcotton,400g,R5,3.023,274818.181818182,22.7122464312547
SH,W041,12Vcotton,800g,R1,4.013,364818.181818182,30.1502629601803
SH,W041,12Vcotton,800g,R2,6.874,624909.090909091,51.6453794139745
SH,W041,12Vcotton,800g,R3,6.623,602090.909090909,49.7595792637115
SH,W041,12Vcotton,800g,R4,10.627,966090.909090909,79.8422238918107
SH,W041,12Vcotton,800g,R5,6.901,627363.636363636,51.8482344102179
SH,W041,12Vcotton,800g,R6,8.016,728727.272727273,60.2253944402705
SH,W041,12Vcotton,800g,R7,6.889,626272.727272727,51.7580766341097
