Project,Wash,Garment,Weight,Repeat,Area,Area.px,Area.mm2
SH,W000,1VcottonDC,1000g,R1,24.144,2194909.09090909,181.397445529677
SH,W000,1VcottonDC,1000g,R2,21.863,1987545.45454545,164.259954921112
SH,W000,1VcottonDC,1000g,R3,17.847,1622454.54545455,134.087152516905
SH,W000,1VcottonDC,1000g,R4,17.75,1613636.36363636,133.35837716003
SH,W000,1VcottonDC,1000g,R5,8.773,797545.454545455,65.9128474830954
SH,W000,1VcottonDC,100g,R1,2.784,253090.909090909,20.9166040570999
SH,W000,1VcottonDC,100g,R2,4.065,369545.454545455,30.5409466566491
SH,W000,1VcottonDC,100g,R3,4.378,398000,32.8925619834711
SH,W000,1VcottonDC,100g,R4,5.379,489000,40.4132231404959
SH,W000,1VcottonDC,100g,R5,6.197,563363.636363636,46.5589782118708
SH,W000,1VcottonDC,2000g,R1,14.09,1280909.09090909,105.860255447032
SH,W000,1VcottonDC,2000g,R2,15.01,1364545.45454545,112.772351615327
SH,W000,1VcottonDC,2000g,R3,16.367,1487909.09090909,122.967693463561
SH,W000,1VcottonDC,2000g,R4,14.081,1280090.90909091,105.792637114951
SH,W000,1VcottonDC,2000g,R5,12.852,1168363.63636364,96.5589782118708
SH,W000,1VcottonDC,200g,R1,8.214,746727.272727273,61.7129977460556
SH,W000,1VcottonDC,200g,R2,5.124,465818.181818182,38.4973703981968
SH,W000,1VcottonDC,200g,R3,5.411,491909.090909091,40.6536438767844
SH,W000,1VcottonDC,200g,R4,5.472,497454.545454546,41.1119459053343
SH,W000,1VcottonDC,200g,R5,8.428,766181.818181818,63.320811419985
SH,W000,1VcottonDC,400g,R1,14.849,1349909.09090909,111.562734785875
SH,W000,1VcottonDC,400g,R2,10.47,951818.181818182,78.6626596543952
SH,W000,1VcottonDC,400g,R3,9.325,847727.272727273,70.0601051840721
SH,W000,1VcottonDC,400g,R4,8.987,817000,67.5206611570248
SH,W000,1VcottonDC,400g,R5,8.702,791090.909090909,65.3794139744553
SH,W000,1VcottonDC,800g,R1,14.812,1346545.45454545,111.284748309542
SH,W000,1VcottonDC,800g,R2,9.861,896454.545454546,74.0871525169046
SH,W000,1VcottonDC,800g,R3,10.462,951090.909090909,78.6025544703231
SH,W000,1VcottonDC,800g,R4,16.559,1505363.63636364,124.410217881292
SH,W000,1VcottonDC,800g,R5,21.209,1928090.90909091,159.346356123216
SH,W001,1VcottonDC,1000g,R1,29.815,2710454.54545455,224.004507888805
SH,W001,1VcottonDC,1000g,R2,41.499,3772636.36363636,311.788129226146
SH,W001,1VcottonDC,1000g,R3,33.979,3089000,255.289256198347
SH,W001,1VcottonDC,1000g,R4,43.165,3924090.90909091,324.305033809166
SH,W001,1VcottonDC,1000g,R5,39.435,3585000,296.280991735537
SH,W001,1VcottonDC,100g,R1,10.603,963909.090909091,79.6619083395943
SH,W001,1VcottonDC,100g,R2,11.673,1061181.81818182,87.7009767092412
SH,W001,1VcottonDC,100g,R3,11.803,1073000,88.6776859504132
SH,W001,1VcottonDC,100g,R4,13.728,1248000,103.140495867769
SH,W001,1VcottonDC,100g,R5,11.53,1048181.81818182,86.6265965439519
SH,W001,1VcottonDC,2000g,R1,44.624,4056727.27272727,335.26671675432
SH,W001,1VcottonDC,2000g,R2,47.253,4295727.27272727,355.018782870023
SH,W001,1VcottonDC,2000g,R3,36.771,3342818.18181818,276.265965439519
SH,W001,1VcottonDC,2000g,R4,50.832,4621090.90909091,381.90833959429
SH,W001,1VcottonDC,2000g,R5,47.25,4295454.54545455,354.996243425996
SH,W001,1VcottonDC,200g,R1,12.318,1119818.18181818,92.5469571750563
SH,W001,1VcottonDC,200g,R2,14.013,1273909.09090909,105.281743050338
SH,W001,1VcottonDC,200g,R3,17.303,1573000,130
SH,W001,1VcottonDC,200g,R4,16.127,1466090.90909091,121.164537941397
SH,W001,1VcottonDC,200g,R5,18.967,1724272.72727273,142.501878287002
SH,W001,1VcottonDC,400g,R1,24.013,2183000,180.413223140496
SH,W001,1VcottonDC,400g,R2,23.567,2142454.54545455,177.062359128475
SH,W001,1VcottonDC,400g,R3,34.903,3173000,262.231404958678
SH,W001,1VcottonDC,400g,R4,26.197,2381545.45454545,196.821938392186
SH,W001,1VcottonDC,400g,R5,24.015,2183181.81818182,180.428249436514
SH,W001,1VcottonDC,800g,R1,23.172,2106545.45454545,174.094665664914
SH,W001,1VcottonDC,800g,R2,25.38,2307272.72727273,190.68369646882
SH,W001,1VcottonDC,800g,R3,29.79,2708181.81818182,223.81667918858
SH,W001,1VcottonDC,800g,R4,22.513,2046636.36363636,169.143501126972
SH,W001,1VcottonDC,800g,R5,19.405,1764090.90909091,145.792637114951
SH,W003,1VcottonDC,1000g,R1,34.173,3106636.36363636,256.746806912096
SH,W003,1VcottonDC,1000g,R2,28.101,2554636.36363636,211.126972201352
SH,W003,1VcottonDC,1000g,R3,27.039,2458090.90909091,203.148009015778
SH,W003,1VcottonDC,1000g,R4,28.86,2623636.36363636,216.829451540195
SH,W003,1VcottonDC,1000g,R5,22.912,2082909.09090909,172.141247182569
SH,W003,1VcottonDC,100g,R1,15.092,1372000,113.388429752066
SH,W003,1VcottonDC,100g,R2,14.073,1279363.63636364,105.732531930879
SH,W003,1VcottonDC,100g,R3,17.201,1563727.27272727,129.23365890308
SH,W003,1VcottonDC,100g,R4,11.558,1050727.27272727,86.8369646882044
SH,W003,1VcottonDC,100g,R5,13.11,1191818.18181818,98.4973703981968
SH,W003,1VcottonDC,2000g,R1,30.358,2759818.18181818,228.084147257701
SH,W003,1VcottonDC,2000g,R2,40.36,3669090.90909091,303.230653643877
SH,W003,1VcottonDC,2000g,R3,42.566,3869636.36363636,319.804658151766
SH,W003,1VcottonDC,2000g,R4,45.969,4179000,345.371900826446
SH,W003,1VcottonDC,2000g,R5,31.28,2843636.36363636,235.011269722014
SH,W003,1VcottonDC,200g,R1,15.262,1387454.54545455,114.665664913599
SH,W003,1VcottonDC,200g,R2,32.01,2910000,240.495867768595
SH,W003,1VcottonDC,200g,R3,20.381,1852818.18181818,153.125469571751
SH,W003,1VcottonDC,200g,R4,11.421,1038272.72727273,85.8076634109692
SH,W003,1VcottonDC,200g,R5,17.119,1556272.72727273,128.617580766341
SH,W003,1VcottonDC,400g,R1,20.974,1906727.27272727,157.580766341097
SH,W003,1VcottonDC,400g,R2,20.55,1868181.81818182,154.395191585274
SH,W003,1VcottonDC,400g,R3,13.686,1244181.81818182,102.82494365139
SH,W003,1VcottonDC,400g,R4,16.071,1461000,120.743801652893
SH,W003,1VcottonDC,400g,R5,19.841,1803727.27272727,149.068369646882
SH,W003,1VcottonDC,800g,R1,31.365,2851363.63636364,235.64988730278
SH,W003,1VcottonDC,800g,R2,29.903,2718454.54545455,224.665664913599
SH,W003,1VcottonDC,800g,R3,32.411,2946454.54545455,243.50864012021
SH,W003,1VcottonDC,800g,R4,24.475,2225000,183.884297520661
SH,W003,1VcottonDC,800g,R5,26.779,2434454.54545455,201.194590533434
SH,W005,1VcottonDC,1000g,R1,17.702,1609272.72727273,132.997746055597
SH,W005,1VcottonDC,1000g,R2,8.437,767000,63.3884297520661
SH,W005,1VcottonDC,1000g,R3,9.788,889818.181818182,73.5386927122464
SH,W005,1VcottonDC,1000g,R4,15.31,1391818.18181818,115.026296018032
SH,W005,1VcottonDC,1000g,R5,23.694,2154000,178.01652892562
SH,W005,1VcottonDC,100g,R1,4.382,398363.636363636,32.9226145755071
SH,W005,1VcottonDC,100g,R2,4.031,366454.545454545,30.2854996243426
SH,W005,1VcottonDC,100g,R3,3.034,275818.181818182,22.7948910593539
SH,W005,1VcottonDC,100g,R4,2.112,192000,15.8677685950413
SH,W005,1VcottonDC,100g,R5,1.342,122000,10.0826446280992
SH,W005,1VcottonDC,2000g,R1,29.526,2684181.81818182,221.8332081142
SH,W005,1VcottonDC,2000g,R2,28.548,2595272.72727273,214.485349361382
SH,W005,1VcottonDC,2000g,R3,23.171,2106454.54545455,174.087152516905
SH,W005,1VcottonDC,2000g,R4,22.751,2068272.72727273,170.931630353118
